StationCode,LandUse,PercentUrbanLandUse,Year,SampleDate,SumPyrethroid_ToxicUnits
723NROTWM,Agriculture,5.323325137,2010,10/6/10,1.705266539
907SDRWAR,Urban,86.84553038,2010,5/25/10,1.689462448
205GUA020,Urban,99.81170408,2015,7/1/15,1.676572012
909SWRWSx,Urban,86.47093915,2013,5/16/13,1.670896679
404BLNAxx,Urban,95.21350709,2009,6/24/09,1.649275989
309DAV,Open,21.02141928,2014,6/18/14,1.603366132
204SLE030,Urban,98.37352138,2016,7/14/16,1.594258965
906LPLPC6,Urban,66.00881186,2014,5/13/14,1.589228277
207KIR020,Urban,81.68425055,2013,5/22/13,1.57685246
204SMA020,Urban,89.17161114,2010,6/30/10,1.572869085
541STC516,Agriculture,9.665508254,2016,8/16/16,1.563652525
312SMA,Open,5.093615537,2012,5/16/12,1.545367026
312SMA,Open,5.093615537,2008,6/11/08,1.544229362
309DAV,Open,21.02141928,2016,6/15/16,1.537366457
412LARWxx,Urban,94.86085523,2010,5/26/10,1.521170879
315MIS,Urban,82.12081541,2017,6/5/17,1.496721619
207LAU020,Urban,58.03184802,2010,6/29/10,1.49234193
412LARWxx,Urban,94.86085523,2011,5/26/11,1.484693748
309DAV,Open,21.02141928,2015,6/9/15,1.475706619
207WAL020,Urban,98.3264527,2014,6/24/14,1.44738415
205COY060,Urban,100,2008,6/17/08,1.436143122
723NROTWM,Agriculture,5.323325137,2013,10/22/13,1.422043267
541STC516,Agriculture,9.665508254,2017,7/10/17,1.397782048
205GUA020,Urban,99.81170408,2014,6/25/14,1.388091236
408CGCS06,Urban,37.11047055,2016,6/2/16,1.374356245
204SMA020,Urban,89.17161114,2016,7/14/16,1.371211594
535STC206,Urban,94.86145026,2013,9/4/13,1.349648032
723NROTWM,Agriculture,5.323325137,2012,10/16/12,1.336514659
312SMA,Open,5.093615537,2013,6/24/13,1.333376432
207KIR020,Urban,81.68425055,2016,5/25/16,1.309124345
309DAV,Open,21.02141928,2010,6/22/10,1.305266041
801SARVRx,Urban,62.14292678,2010,5/25/10,1.302386298
315MIS,Urban,82.12081541,2015,5/26/15,1.298323499
312SMA,Open,5.093615537,2014,6/26/14,1.276213641
315MIS,Urban,82.12081541,2011,6/10/11,1.268391972
204SLE030,Urban,98.37352138,2015,6/23/15,1.247522347
405SGRA2x,Urban,97.631651,2015,5/5/15,1.246214207
535STC206,Urban,94.86145026,2016,8/16/16,1.238548273
408CGCS06,Urban,37.11047055,2015,5/6/15,1.231633326
535STC206,Urban,94.86145026,2017,7/10/17,1.227426263
402VRB0xx,Urban,25.815,2012,5/16/12,1.201550388
907SDRWAR,Urban,86.84553038,2015,4/23/15,1.193581659
408CGCS06,Urban,37.11047055,2017,5/16/17,1.178928048
315MIS,Urban,82.12081541,2012,5/16/12,1.150420459
901SJSJC9,Urban,78.80614893,2012,5/8/12,1.140645548
558PKC005,Ag/Urban,44.41628801,2012,7/17/12,1.135488058
204SMA020,Urban,89.17161114,2008,6/18/08,1.134755293
902SSMR07,Urban,36.94471982,2009,6/23/09,1.111355778
315MIS,Urban,82.12081541,2016,6/14/16,1.080520157
408CGCS06,Urban,37.11047055,2014,6/3/14,1.07751938
201LAG125,Open,5.376385468,2008,8/13/08,1.076785714
801SDCxxx,Urban,90.84062605,2017,5/15/17,1.050535677
305THU,Ag/Urban,29.94189118,2010,7/2/10,1.036679198
909SWRWSx,Urban,86.47093915,2014,5/14/14,1.029978017
204SMA020,Urban,89.17161114,2015,6/24/15,1.015623788
309DAV,Open,21.02141928,2009,6/16/09,1.012853752
558PKC010,Ag/Urban,#N/A,2008,4/29/08,1.006711409
904ESCOxx,Urban,56.73274445,2013,5/15/13,1.003451348
723ARGRB1,Open,5.232759616,2016,10/26/16,0.994510263
207WAL020,Urban,98.3264527,2008,6/17/08,0.984496124
402VRB0xx,Urban,25.815,2015,5/6/15,0.96815136
313SAI,Open,5.916310731,2012,5/16/12,0.951800038
204SMA020,Urban,89.17161114,2013,6/26/13,0.949782322
310ARG,Urban,48.12992126,2011,6/21/11,0.9241043
205COY060,Urban,100,2013,7/2/13,0.912022169
207KIR020,Urban,81.68425055,2017,5/8/17,0.854905716
520CBDKLU,Agriculture,6.633542215,2012,8/30/12,0.854388151
310ARG,Urban,48.12992126,2016,6/14/16,0.852000974
907SDRWAR,Urban,86.84553038,2011,5/25/11,0.84763508
310ARG,Urban,48.12992126,2017,6/5/17,0.843623939
541STC019,Agriculture,7.018792711,2012,6/27/12,0.825347724
402VRB0xx,Urban,25.815,2013,5/29/13,0.820528183
801SARVRx,Urban,62.14292678,2008,6/4/08,0.818667129
204ALA020,Urban,91.04046243,2010,6/29/10,0.807876422
904ESCOxx,Urban,56.73274445,2011,5/24/11,0.798449612
907SDRWAR,Urban,86.84553038,2009,6/23/09,0.795620438
541STC019,Agriculture,7.018792711,2011,7/22/11,0.79016039
904ESCOxx,Urban,56.73274445,2017,5/2/17,0.788337604
205GUA020,Urban,99.81170408,2013,6/26/13,0.788246085
312SMA,Open,5.093615537,2016,7/19/16,0.763953886
520CBDKLU,Agriculture,6.633542215,2010,8/24/10,0.754526578
307CML,Urban,28.05874008,2010,7/2/10,0.747903506
719CVSCOT,Open,6.904142485,2014,10/22/14,0.724344158
719CVSCOT,Open,6.904142485,2012,10/17/12,0.723546512
911TJHRxx,Urban,71.50466045,2008,5/22/08,0.720166609
207WAL020,Urban,98.3264527,2017,6/27/17,0.718901774
904ESCOxx,Urban,56.73274445,2008,5/21/08,0.703875969
205GUA020,Urban,99.81170408,2016,7/14/16,0.693073042
205COY060,Urban,100,2017,6/27/17,0.688713733
541STC019,Agriculture,7.018792711,2010,7/8/10,0.685271318
207KIR020,Urban,81.68425055,2015,6/23/15,0.658139535
408CGCS06,Urban,37.11047055,2012,5/15/12,0.657768939
207WAL020,Urban,98.3264527,2010,6/29/10,0.656592618
719CVSCOT,Open,6.904142485,2009,10/20/09,0.653284672
723ARGRB1,Open,5.232759616,2013,10/21/13,0.652156907
204SLE030,Urban,98.37352138,2010,6/29/10,0.616645737
305THU,Ag/Urban,29.94189118,2016,6/15/16,0.615811788
310SLB,Open,10.75837743,2012,5/16/12,0.609833943
307CML,Urban,28.05874008,2012,6/7/12,0.601950116
205GUA020,Urban,99.81170408,2017,6/27/17,0.599148394
312SMA,Open,5.093615537,2017,6/5/17,0.595480139
541STC019,Agriculture,7.018792711,2016,8/17/16,0.594595235
204SLE030,Urban,98.37352138,2017,6/27/17,0.587624729
207LAU020,Urban,58.03184802,2011,7/7/11,0.583134328
204SMA020,Urban,89.17161114,2012,8/24/12,0.581603294
305THU,Ag/Urban,29.94189118,2014,6/8/14,0.56770858
535MER007,Agriculture,2.320872274,2014,7/9/14,0.554679777
723ARGRB1,Open,5.232759616,2014,10/22/14,0.550951089
901SJSJC9,Urban,78.80614893,2010,5/24/10,0.534947356
315ATA,Urban,81.01692943,2013,5/30/13,0.532941108
801SARVRx,Urban,62.14292678,2014,5/14/14,0.507645513
207WAL020,Urban,98.3264527,2013,6/25/13,0.50620155
515SACKNK,Agriculture,6.146661143,2011,8/18/11,0.485852713
309DAV,Open,21.02141928,2013,6/11/13,0.473817168
515YBAMVL,Urban,46.41357443,2008,8/19/08,0.466071429
315MIS,Urban,82.12081541,2013,5/30/13,0.456589147
541STC019,Agriculture,7.018792711,2014,7/9/14,0.45638144
204ALA020,Urban,91.04046243,2008,6/17/08,0.453488372
904ESCOxx,Urban,56.73274445,2009,6/23/09,0.452554745
408CAL006,Urban,#N/A,2008,5/19/08,0.437505496
315ATA,Urban,81.01692943,2014,6/4/14,0.436434109
535STC501,Agriculture,6.059115503,2016,8/17/16,0.431782946
541STC516,Agriculture,9.665508254,2015,7/15/15,0.430472402
723NROTWM,Agriculture,5.323325137,2014,10/22/14,0.429499886
520CBDKLU,Agriculture,6.633542215,2014,8/26/14,0.427131783
902SSMR07,Urban,36.94471982,2014,5/13/14,0.427131783
541STC019,Agriculture,7.018792711,2017,7/10/17,0.419494793
